character;actor
James Bond;Roger Moore
Max Zorin;Christopher Walken
Stacey Sutton;Tanya Roberts
May Day;Grace Jones
Sir Godfrey Tibbett;Patrick Macnee
Scarpine;Patrick Bauchau
Dr. Mortner;Willoughby Gray
Pola Ivanova;Fiona Fullerton
Chuck Lee;David Yip
General Gogol;Walter Gotell
M;Robert Brown
Q;Desmond Llewelyn
Sir Fredrick Gray;Geoffrey Keen
Miss Moneypenny;Lois Maxwell
Kimberley Jones;Mary Stävin
Jenny Flex;Alison Doody
Pan Ho;Papillon Soo Soo
Bob Conley;Manning Redwood
Achille Aubergine;Jean Rougerie
Dominique;Carole Ashby
Klotkoff;Bogdan Kominowski
W.G. Howe;Daniel Benzali
SFPD Captain;Joe Flood
Venz;wikipedia:Dolph Lundgren|Dolph Lundgren
Zorin's guard;Ron Tarr
