character;actor
James Bond;Daniel Craig
Vesper Lynd;Eva Green
Le Chiffre;Mads Mikkelsen
M;Judi Dench
Felix Leiter;Jeffrey Wright
René Mathis;Giancarlo Giannini
Mr. White;Jesper Christensen
Valenka;Ivana Miličević
Alex Dimitrios;Simon Abkarian
Solange Dimitrios;Caterina Murino
Carlos Nikolic;Claudio Santamaria
Villiers;Tobias Menzies
Dryden;Malcolm Sinclair
Mr. Bliss;Con O'Neill
Steven Obanno;Isaach De Bankolé
Mollaka Danso;Sébastian Foucan
Adolph Gettler;Richard Sammel
Kratt;Clemens Schick
Fisher;Darwin Shaw
Leo;Emmanuel Avena
Carter;Joseph Millson
Tall Man;Leo Stransky
Madam Wu;Tsai Chin
Mendel;Ludger Pistor
Williams;Ben Cooke
Infante;Ade
Tomelli;Urbano Barberini
Gallardo;Charlie Levy Leroy
Kaminofsky;Lazar Ristovski
Fukutu;Tom So
Gräfin von Wallenstein;Veruschka von Lehndorff
Ocean Club receptionist;Christina Cole
Vanya Bor;Unknown
Heni Marville-Beau;Unknown
Izzie Sawakowa;Unknown
