character;actor
James Bond;Sean Connery
Tiffany Case;Jill St. John
Ernst Stavro Blofeld;Charles Gray
Mr. Kidd;Putter Smith
Mr. Wint;Bruce Glover
Plenty O'Toole;Lana Wood
Willard Whyte;Jimmy Dean
Felix Leiter;Norman Burton
Bert Saxby;Bruce Cabot
Miss Moneypenny;Lois Maxwell
Professor Dr. Metz;Joseph Fürst
Sir Donald Munger;Laurence Naismith
Morton Slumber;David Bauer
Q;Desmond Llewelyn
M;Bernard Lee
Dr. Tynan;Henry Rowland
Shady Tree;Leonard Barr
Mrs. Whistler;Margaret Lacey
Peter Franks;Joe Robinson
Joe;Ray Baker
Bambi;Lola Larson
Thumper;Trina Parks
Tom;Shane Rimmer
