character;actor
James Bond;Sean Connery
Honey Ryder;Unknown
Dr. Julius No;Joseph Wiseman
Felix Leiter;Jack Lord
M;Bernard Lee
R. J. Dent;Anthony Dawson
Quarrel;John Kitzmiller
Miss Taro;Zena Marshall
Sylvia Trench;Eunice Gayson
Sister Rose;Michel Mok
Miss Moneypenny;Lois Maxwell
Q;Peter Burton
Sister Lily;Yvonne Shima
Pleydell Smith;Louis Blaazer
Mr. Jones;Reginald Carter
Superintendent Duff;William Foster-Davis
Annabel Chung;Marguerite LeWars
The Three Blind Mice;Unknown
Mary Trueblood;Unknown
Chen;Unknown
Puss-Feller;Unknown
Milton Reid;Unknown
