character;actor
James Bond;Roger Moore
Melina Havelock;Carole Bouquet
Milos Columbo;Chaim Topol
Bibi Dahl;Lynn-Holly Johnson
Aris Kristatos;Julian Glover
Lisl von Schlaf;Cassandra Harris
Jacoba Brink;Jill Bennett
Emile Leopold Locque;Michael Gothard
Erich Kriegler;Unknown
Sir Timothy Havelock;Jack Hedley
General Anatol Gogol;Walter Gotell
Bill Tanner;James Villiers
Sir Fredrick Gray;Geoffrey Keen
Q;Desmond Llewelyn
Miss Moneypenny;Lois Maxwell
Luigi Ferrara;Unknown
Hector Gonzales;Unknown
Claus;Charles Dance
Gonzales' henchman;Clive Curtis
First Sea Lord;Graham Crowden
Rublevitch;Eva Rueber-Staier
Sheena Easton;Unknown
