character;actor
James Bond;Pierce Brosnan
Alec Trevelyan;Sean Bean
Natalya Simonova;Izabella Scorupco
Xenia Onatopp;Famke Janssen
Jack Wade;Joe Don Baker
M;Judi Dench
Valentin Zukovsky;Robbie Coltrane
Dmitri Mishkin;Tchéky Karyo
General Ourumov;Gottfried John
Boris Grishenko;Alan Cumming
Bill Tanner;Michael Kitchen
Caroline;Serena Gordon
Q;Desmond Llewelyn
Miss Moneypenny;Samantha Bond
Admiral Chuck Farrel;Billy J. Mitchell
Irina;Minnie Driver
Anna J. Nishkov;Michelle Arthur
Valentin's Bodyguard;Peter Majer
Lt. François Brouse - Tiger Helicopter Pilot;Simon Crane
Capt. Bernard Jaubert - Tiger Helicopter Pilot;Wayne Michaels
Train Driver;Trevor Byfield
