character;actor
James Bond;Sean Connery
Auric Goldfinger;Unknown
Oddjob;Harold Sakata
Pussy Galore;Honor Blackman
Jill Masterson;Shirley Eaton
Tilly Masterson;Tania Mallet
M;Bernard Lee
Mr. Ling;Burt Kwouk
Mr. Solo;Martin Benson
Bonita;Nadja Regin
Q;Desmond Llewelyn
Felix Leiter;Cec Linder
Kisch;Michael Mellinger
Denise;Aleta Morrison
Atomic Specialist;Robert MacLeod
Capungo;Alf Joint
Simmons;Austin Willis
Miss Moneypenny;Lois Maxwell
Jack Strap;Hal Galili
Jed Midgnight;Bill Nagy
Dink;Margaret Nolan
Hawker;Gerry Duggan
Mei-Lei;Mai Ling
Colonel Smithers;Richard Vernon
List of Minor Characters in Goldfinger;Unknown
