character;actor
James Bond;Timothy Dalton
Franz Sanchez;Robert Davi
Pam Bouvier;Carey Lowell
Lupe Lamora;Talisa Soto
Dario;Benicio del Toro
Milton Krest;Anthony Zerbe
Q;Desmond Llewelyn
Felix Leiter;David Hedison
Joe Butcher;Wayne Newton
Ed Killifer;Everett McGill
Colonel Heller;Don Stroud
Hector Lopez;Pedro Armendáriz Jr.
Della Churchill;Priscilla Barnes
Sharkey;Frank McRae
M;Robert Brown
Perez;Alejandro Bracho
Braun;Guy De Saint Cyr
Miss Moneypenny;Caroline Bliss
Kwang;Cary-Hiroyuki Tagawa
Loti;Diana Lee-Hsu
Fallon;Christopher Neame
Truman-Lodge;Anthony Starke
Hawkins;Grand L. Bush
Montelongo;Claudio Brook
Mullens;Rafer Johnson
Bill;Jeff Moldovan
Alvarez;Gerardo Albarrán
Clive;Eddie Edenfield
Honorato;Honorato Magaloni
Tan;Osami Kawawo
Consuelo;Cynthia Fallon
Rasmussen;Enrique Novi
