character;actor
James Bond;Daniel Craig
Madeleine Swann;Léa Seydoux
Lyutsifer Safin;Rami Malek
Nomi;Lashana Lynch
Q;Ben Whishaw
Eve Moneypenny;Naomie Harris
Felix Leiter;Jeffrey Wright
Ernst Stavro Blofeld;Christoph Waltz
M;Ralph Fiennes
Logan Ash;Billy Magnussen
Paloma;Ana de Armas
Valdo Obruchev;David Dencik
Bill Tanner;Rory Kinnear
Primo;Dali Benssalah
Lisa-Dorah Sonnet;Unknown
Coline Defaud;Unknown
Hugh Dennis;Unknown
Priyanga Burford;Unknown
Amy Morgan;Unknown
Lizzie Winkler;Unknown
Brigitte Miller;Unknown
Hayden Phillips;Unknown
