character;actor
James Bond;Roger Moore
Octopussy;Maud Adams
Kamal Khan;Louis Jourdan
Magda;Kristina Wayborn
General Orlov;Steven Berkoff
Gobinda;Kabir Bedi
Q;Desmond Llewelyn
Vijay;Vijay Amritraj
M;Robert Brown
General Gogol;Walter Gotell
Sir Fredrick Gray;Geoffrey Keen
Miss Moneypenny;Lois Maxwell
Penelope Smallbone;Michaela Clavell
Colonel Luis Toro;Ken Norris
Mischka;David Meyer
Grischka;Anthony Meyer
Sadruddin;Albert Moses
Leonid Brezhnev;Paul Hardwick
Jim Fanning;Douglas Wilmer
009;Andy Bradford
Yo-yo thug;William Derrick
Bianca;Tina Hudson
Lieutenant General Peterson;Bruce Boa
Smithers;Jeremy Bulloch
Rubelvitch;Eva Rueber-Staier
Major Clive;Stuart Saunders
Senior Lieutenant Kamp;Dermot Crowley
Lenkin;Peter Porteous
