character;actor
James Bond;Daniel Craig
M;Judi Dench
Raoul Silva;Javier Bardem
Gareth Mallory;Ralph Fiennes
Eve Moneypenny;Naomie Harris
Sévérine;Berenice Marlohe
Kincade;Albert Finney
Q;Ben Whishaw
Bill Tanner;Rory Kinnear
Patrice;Ola Rapace
Clair Dowar;Helen McCrory
Bond’s Lover;Tonia Sotiropoulou
Ronson;Bill Buckhurst
Doctor Hall;Nicholas Woodeson
Vanessa;Elize du Toit
Boat Captain;Milorad Kapor
Steve Benelisha;Paul Davis
Ben Daheer;Unknown
Andrew Surry;Unknown
Naz Husein;Unknown
Paul Inglis;Unknown
