character;actor
James Bond;Daniel Craig
Ernst Stavro Blofeld;Christoph Waltz
Dr. Madeleine Swann;Léa Seydoux
M;Ralph Fiennes
Lucia Sciarra;Monica Bellucci
Q;Ben Whishaw
Eve Moneypenny;Naomie Harris
Mr. Hinx;David Bautista
Max Denbigh;Andrew Scott
Bill Tanner;Rory Kinnear
Mr. White;Jesper Christensen
Estrella;Stephanie Sigman
Marco Sciarra;Alessandro Cremona
Gallo;Domenico Fortunato
Blofeld's Right-Hand Man;Gediminas Adomaitis
Lorenzo;Peppe Lanzetta
Marco;Matteo Taranto
Francesco;Francesco Arca
Moreau;Marc Zinga
Dr. Vogel;Brigitte Millar
Abrika;Adel Bencherif
Guerra;Benito Sagredo
Marshall;Erick Hayden
Valerian;Oleg Mirochnikov
