character;actor
James Bond;Timothy Dalton
Kara Milovy;Maryam d'Abo
General Georgi Koskov;Jeroen Krabbé
Brad Whitaker;Joe Don Baker
Necros;Andreas Wisniewski
General Leonid Pushkin;John Rhys-Davies
Kamran Shah;Art Malik
Q;Desmond Llewelyn
M;Robert Brown
Saunders;Thomas Wheatley
Imposter 00;Carl Rigg
General Gogol;Walter Gotell
Miss Moneypenny;Caroline Bliss
Sir Fredrick Gray;Geoffrey Keen
Colonel Feyador;John Bowe
Rubavitch;Virginia Hey
Felix Leiter;John Terry
Green Four;Bill Weston
004;Frederick Warder
002;Glyn Baker
Rosika Miklos;Julie T. Wallace
Sergeant Stagg;Derek Hoxby
Liz;Catherine Rabett
Ava;Dulice Liecier
Linda;Kell Tyler
Achmed;Atik Mohamed
