character;actor
James Bond;Roger Moore
Anya Amasova;Barbara Bach
Karl Stromberg;Curt Jurgens
Jaws;Richard Kiel
M;Bernard Lee
General Anatol Gogol;Walter Gotell
Naomi;Caroline Munro
Sir Fredrick Gray;Geoffrey Keen
Sergei Barsov;Michael Billington
Q;Desmond Llewelyn
Miss Moneypenny;Lois Maxwell
Liparus captain;Sydney Tafler
Professor Markovitz;Milo Sperber
Dr. Bechmann;Cyril Shaps
Felicca;Olga Bisera
Sandor;Milton Reid
Commander Carter;Shane Rimmer
Commander Talbot;Bryan Marshall
Max Kalba;Vernon Dobtcheff
Aziz Fekkesh;Nadim Sawalha
Martine Blanchaud;Sue Vanner
Sheikh Hosein;Edward de Souza
Captain Benson;George Baker
Rubelvitch;Eva Rueber-Staier
Robert Brown;Unknown
Timothy Dalton;Unknown
