character;actor
James Bond;Pierce Brosnan
Elliot Carver;Jonathan Pryce
Wai Lin;Michelle Yeoh
Stamper;Götz Otto
Paris Carver;Teri Hatcher
M;Judi Dench
Jack Wade;Joe Don Baker
Henry Gupta;Ricky Jay
Q;Desmond Llewelyn
Dr. Kaufman;Vincent Schiavelli
Admiral Roebuck;Geoffrey Palmer
Charles Robinson;Colin Salmon
Miss Moneypenny;Samantha Bond
Minister of Defence;Julian Fellowes
General Chang;Philip Kwok
Captain Scott;Mark Spalding
Major General Bukharin;Terence Rigby
Dave Greenwalt;Colin Stinton
Inga Bergstrom;Cecilie Thomsen
Tamara Steel;Nina Young
Tom Wallace;Michael G. Wilson
Jeff Hobbs;Hugo Napier
Philip Jones;Rolf Saxon
Beth Davidson;Nadia Cameron-Blakey
Mary Golson;Liza Ross
Commander Day;Christopher Bowen
Lieutenant Commander Hume;Andrew Hawkins
Petty Officer Wood;Adam Barker
Chief Petty Officer Tutt;Julian Rhind-Tutt
Lieutenant Commander;Dominic Shaun
Leading Seaman;Gerard Butler
Admiral Kelly;Michael Byrne
Captain;Pip Torrens
Air Warfare Officer;Hugh Bonneville
Principal Warfare Officer;Jason Watkins
Captain;Bruce Alexander
Firing Officer;Bruce Alexander
Terrorist pilot;Theo Kypri
Terrorist Co-Pilot;Unknown actor
Satoshi Isagura;Khan Bonfils
