name,lat,lon
Amberley,39.2047809,-84.427997
Berkshire,51.4534889,-1.031873
California,36.7014631,-118.755997
Chantilly,49.1931736,2.4636686
England\n*Amberley,51.629173,-0.1963367
Fort Knox,37.8976552,-85.9038521
France,46.603354,1.8883335
France\n*Ascot,44.8221815,-0.4902882
Francisco,38.3322686,-87.4452954
Golden Gate,37.8200719,-122.4786506
Jenny,-4.3506798,55.7635896
London,51.5074456,-0.1277653
Moscow,55.625578,37.6063916
Paris,48.8588897,2.320041
Plymouth,50.3714122,-4.1424451
Rock Salt,-38.3549052,144.9779993
Russia,64.6863136,97.7453061
San Francisco,37.7792588,-122.4193286
San Francisco City,10.559815,-71.6430152
San Francisco City Hall,37.7792929,-122.4192601
Siberia,45.1685441,8.0902162
Silicon,43.4537045,-3.8203599
Silicon Valley,37.4429964,-122.1545229
U.S.,39.7837304,-100.445882
United,37.9906638,-81.4264987
United States,39.7837304,-100.445882
West,18.7668687,-72.4387315
Worth,31.524179,-83.8712801
"\""A View",10.7129489,106.6461126
"\""For",-3.7761154,-38.5355413
link,39.4845252,-80.7473254
the City of Paris,52.9512312,-1.1453002
the Eiffel Tower,36.2869515,-88.3015211
the Embarcadero Freeway,37.7964235,-122.3955627
the Golden Gate Bridge,37.8077025,-122.4752119
the San Francisco Bay,37.590568,-122.334608
the United States,47.8291375,-122.5970742
