Film;Villain;Portrayed by;Objective;Outcome;Status;image_url
A View to a Kill;May Day;Grace Jones;May Day plans to blow up Silicon Valley's computer chip factories, crippling the US economy and making her boss, Max Zorin, the world's leading microchip manufacturer.;Bond foils May Day's plan by stopping her and Max Zorin's accomplices, and preventing the destruction of the factories.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/9/9a/May_Day_-_Profile.png
A View to a Kill;Chuck Lee;David Yip;Chuck Lee is a henchman working for Max Zorin, and his objective is to help Zorin's plan to corner the world microchip market by destroying Silicon Valley.;Bond foils Zorin's plan, and Chuck Lee is killed in the process.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/a/a9/Chuck_Lee_-_Profile.png
A View to a Kill;Max Zorin;Christopher Walken;Trigger an earthquake along the San Andreas fault to destroy Silicon Valley, thus wiping out his competitors in the microchip market and giving him a monopoly.;Zorin leaves May Day to die. Enraged, she smuggles the bomb out of the blast radius, sacrificing herself.;Falls from the top of the Golden Gate Bridge during a fight with Bond.;https://static.wikia.nocookie.net/jamesbond/images/b/bb/Max_Zorin_-_Profile.png
A View to a Kill;General Gogol;Walter Gotell;General Gogol is working to develop a new microchip for the Soviet Union, but the true goal is to use it to gain control over the world's computer systems.;Bond foils the plan by destroying the microchip and preventing its theft, but General Gogol survives.;Survives;https://static.wikia.nocookie.net/jamesbond/images/a/a8/General_Gogol_%28Walter_Gotell%29_-_Profile.jpg
A View to a Kill;Pan Ho;Papillon Soo Soo;Pan Ho's objective is to steal a microchip from Zorin's headquarters, which contains the design for a new computer chip that will give Zorin a monopoly on the world's computer microchip market.;Bond foils Pan Ho's plan when he discovers that Ho is working for Max Zorin, and that the microchip is actually a fake, which Bond then destroys.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/8/8a/Pan_Ho_%28Papillon_Soo_Soo%29_-_Profile.jpg
A View to a Kill;Scarpine;Patrick Bauchau;Scarpine's objective is to steal a microchip that contains the plans for a new satellite-based computer system, which will give its owner control over the world's computer systems.;Bond foils Scarpine's plan by stopping him from stealing the microchip, and Scarpine ultimately meets his demise in a fight with Bond.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/a/af/Scarpine_%28Patrick_Bauchau%29_-_Profile.png
Casino Royale;Carlos Nikolic;Claudio Santamaria;Carlos Nikolic is a private banker who is secretly working for the terrorist organization known as the Quantum group, and his main goal is to fund their operations through a series of high-stakes poker games.;Bond is able to infiltrate the poker game and gather information about Nikolic's true intentions, ultimately foiling his plan to fund the Quantum group.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/b/bd/Carlos_Nikolic_%28Claudio_Santamaria%29_-_Profile.png
Casino Royale;Steven Obanno;Isaach De Bankolé;Steven Obanno is a key player in a global terrorist network, financing the group's operations through a large heroin shipment.;Bond foils the heroin shipment, killing Obanno in the process.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/7/76/Steven_Obanno_%28Casino_Royale%29_-_Profile.png
Casino Royale;Le Chiffre;Mads Mikkelsen;Recoup his clients' squandered funds by winning a poker tournament at the Casino Royale.;Bond wins the tournament.;Shot in the forehead by Mr. White.;https://static.wikia.nocookie.net/jamesbond/images/9/9c/Le_Chiffre_%28Mads_Mikkelsen%29_-_Profile.jpg
Casino Royale;Adolph Gettler;Richard Sammel;To deliver a briefcase containing a large sum of money to a contact, Le Chiffre, in exchange for information about a terrorist plot.;Bond intercepts the briefcase, foiling Gettler's plan, and later kills him in a fight.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/a/a4/Gettler.png
Casino Royale;Kratt;Clemens Schick;Le Chiffre's private banker, Kratt, is tasked with laundering money for Le Chiffre's terrorist organization.;Bond foils Kratt's plan by tracking down and killing him in a casino.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/a/a6/Kratt_-_Profile.png
Casino Royale;Felix Leiter's nemesis, Mr. Fisher;Darwin Shaw;Mr. Fisher is involved in a human trafficking operation.;Bond foils the operation and rescues the hostages.;Killed by Bond;https://static.wikia.nocookie.net/jamesbond/images/1/11/Fisher_%28Darwin_Shaw%29_-_Profile.jpg
Casino Royale;Mr. White;Jesper Christensen;Assassinate Le Chiffre and steal back the money.;Succeeds.;Arrested by Bond.;https://static.wikia.nocookie.net/jamesbond/images/e/ec/Mr._White_-_Profile.png
