Film;Villain;Portrayed by;Objective;Outcome;Status;image_url
A View to a Kill;May Day;Grace Jones;;;;https://static.wikia.nocookie.net/jamesbond/images/9/9a/May_Day_-_Profile.png
A View to a Kill;Scarpine;Patrick Bauchau;;;;https://static.wikia.nocookie.net/jamesbond/images/a/af/Scarpine_%28Patrick_Bauchau%29_-_Profile.png
A View to a Kill;Chuck Lee;David Yip;;;;https://static.wikia.nocookie.net/jamesbond/images/a/a9/Chuck_Lee_-_Profile.png
A View to a Kill;General Gogol;Walter Gotell;;;;https://static.wikia.nocookie.net/jamesbond/images/a/a8/General_Gogol_%28Walter_Gotell%29_-_Profile.jpg
A View to a Kill;Pan Ho;Papillon Soo Soo;;;;https://static.wikia.nocookie.net/jamesbond/images/8/8a/Pan_Ho_%28Papillon_Soo_Soo%29_-_Profile.jpg
Casino Royale;Carlos Nikolic;Claudio Santamaria;;;;https://static.wikia.nocookie.net/jamesbond/images/b/bd/Carlos_Nikolic_%28Claudio_Santamaria%29_-_Profile.png
Casino Royale;Steven Obanno;Isaach De Bankolé;;;;https://static.wikia.nocookie.net/jamesbond/images/7/76/Steven_Obanno_%28Casino_Royale%29_-_Profile.png
Casino Royale;Mollaka Danso;Sébastian Foucan;;;;https://static.wikia.nocookie.net/jamesbond/images/3/3c/Mollaka_%28S%C3%A9bastian_Foucan%29_-_Profile.jpg
Casino Royale;Adolph Gettler;Richard Sammel;;;;https://static.wikia.nocookie.net/jamesbond/images/a/a4/Gettler.png
Casino Royale;Kratt;Clemens Schick;;;;https://static.wikia.nocookie.net/jamesbond/images/a/a6/Kratt_-_Profile.png
Casino Royale;Felix Leiter's nemesis, Mr. Fisher;Darwin Shaw;;;;https://static.wikia.nocookie.net/jamesbond/images/1/11/Fisher_%28Darwin_Shaw%29_-_Profile.jpg
Diamonds Are Forever;Mr. Kidd;Putter Smith;;;;https://static.wikia.nocookie.net/jamesbond/images/8/82/Mr._Kidd_%28Putter_Smith%29_-_Profile.png
Diamonds Are Forever;Mr. Wint;Bruce Glover;;;;https://static.wikia.nocookie.net/jamesbond/images/6/67/Mr._Wint_%28Bruce_Glover%29_-_Profile.png
Diamonds Are Forever;Thumper;Trina Parks;;;;https://static.wikia.nocookie.net/jamesbond/images/3/32/Thumper_-_Profile.png
Die Another Day;Zao;Rick Yune;;;;https://static.wikia.nocookie.net/jamesbond/images/a/ac/Zao_%28Die_Another_Day%29_-_Profile.png
Die Another Day;Vlad;Mikhail Gorevoy;;;;https://static.wikia.nocookie.net/jamesbond/images/e/ef/Vlad_%28Mikhail_Gorevoy%29_-_Profile.png
Die Another Day;Mr. Kil;Lawrence Makoare;;;;https://static.wikia.nocookie.net/jamesbond/images/7/7a/Kil.png
For Your Eyes Only;Milos Columbo;Chaim Topol;;;;https://static.wikia.nocookie.net/jamesbond/images/e/ec/Milos_Columbo_%28Chaim_Topol%29_-_Profile.png
For Your Eyes Only;Aris Kristatos;Julian Glover;;;;https://static.wikia.nocookie.net/jamesbond/images/6/61/Aris_Kristatos_%28Julian_Glover%29_-_Profile.jpg
For Your Eyes Only;Emile Leopold Locque;Michael Gothard;;;;https://static.wikia.nocookie.net/jamesbond/images/6/6f/Emile_Leopold_Locque_-_Profile.png
For Your Eyes Only;Claus;Charles Dance;;;;https://static.wikia.nocookie.net/jamesbond/images/c/ca/Claus_%28Charles_Dance%29_-_Profile.jpg
From Russia with Love;Red Grant;Robert Shaw;;;;https://static.wikia.nocookie.net/jamesbond/images/c/c2/Red_Grant_%28Robert_Shaw%29_-_Profile.jpg
From Russia with Love;Morzeny;Walter Gotell;;;;https://static.wikia.nocookie.net/jamesbond/images/5/53/Morzeny_%28Walter_Gotell%29_-_Profile.jpg
GoldenEye;Alec Trevelyan;Sean Bean;;;;https://static.wikia.nocookie.net/jamesbond/images/7/76/Alec_Trevelyan_%28Sean_Bean%29_-_Profile.jpg
GoldenEye;General Ourumov;Gottfried John;;;;https://static.wikia.nocookie.net/jamesbond/images/5/58/General_Ourumov_%28Gottfried_John%29_-_Profile.png
GoldenEye;Boris Grishenko;Alan Cumming;;;;https://static.wikia.nocookie.net/jamesbond/images/6/64/Boris_Grishenko_%28Alan_Cumming%29_-_Profile.jpg
Goldfinger;Oddjob;Harold Sakata;;;;https://static.wikia.nocookie.net/jamesbond/images/a/a5/Oddjob_Profile.png
Goldfinger;Mr. Ling;Burt Kwouk;;;;https://static.wikia.nocookie.net/jamesbond/images/1/1c/Mr._Ling_-_Profile.jpg
Goldfinger;Simmons;Austin Willis;;;;https://static.wikia.nocookie.net/jamesbond/images/d/d7/Simmons_-_Profile.png
Goldfinger;Colonel Smithers;Richard Vernon;;;;https://static.wikia.nocookie.net/jamesbond/images/1/14/Colonel_Smithers_-_Profile.png
Licence to Kill;Dario;Benicio del Toro;;;;https://static.wikia.nocookie.net/jamesbond/images/5/55/Dario_%28Benicio_del_Toro%29_-_Profile.jpg
Licence to Kill;Milton Krest;Anthony Zerbe;;;;https://static.wikia.nocookie.net/jamesbond/images/0/0a/Milton_Krest_%28Anthony_Zerbe%29_-_Profile.jpg
